Start node,End node,Start Category,End Category
IfcSlab_1S95G$KmD4KuUstGlbafId,IfcWall_0VHNU8CzX2rfsiwnl8p5_e,Slab,Wall
IfcSlab_1S95G$KmD4KuUstGlbafId,IfcWall_0VHNU8CzX2rfsiwnl8p5zg,Slab,Wall
IfcSlab_1S95G$KmD4KuUstGlbafId,IfcWall_0VHNU8CzX2rfsiwnl8p5Yi,Slab,Wall
IfcSlab_1S95G$KmD4KuUstGlbafId,IfcWall_0VHNU8CzX2rfsiwnl8p5XP,Slab,Wall
IfcSlab_1S95G$KmD4KuUstGlbafId,IfcWall_2un$6u9iv7VQfnxEerV9AP,Slab,Wall
IfcSlab_1S95G$KmD4KuUstGlbafId,IfcWall_2un$6u9iv7VQfnxEerV99p,Slab,Wall
IfcSlab_1S95G$KmD4KuUstGlbafId,IfcWall_2un$6u9iv7VQfnxEerV98S,Slab,Wall
IfcSlab_1S95G$KmD4KuUstGlbafId,IfcWall_2un$6u9iv7VQfnxEerV97a,Slab,Wall
IfcSlab_1S95G$KmD4KuUstGlbafId,IfcWall_2un$6u9iv7VQfnxEerV95$,Slab,Wall
IfcSlab_1S95G$KmD4KuUstGlbafId,IfcWall_2iA_Cg3Y93jBekWsGl7BI5,Slab,Wall
IfcWall_0VHNU8CzX2rfsiwnl8p5_e,IfcSlab_1S95G$KmD4KuUstGlbafId,Wall,Slab
IfcWall_0VHNU8CzX2rfsiwnl8p5_e,IfcWall_1NB4858ij0cgkl5wv0z3dk,Wall,Wall
IfcWall_0VHNU8CzX2rfsiwnl8p5zg,IfcSlab_1S95G$KmD4KuUstGlbafId,Wall,Slab
IfcWall_0VHNU8CzX2rfsiwnl8p5zg,IfcWall_1S95G$KmD4KuUstGlbafVK,Wall,Wall
IfcWall_0VHNU8CzX2rfsiwnl8p5zg,IfcWall_1NB4858ij0cgkl5wv0z3dk,Wall,Wall
IfcWall_0VHNU8CzX2rfsiwnl8p5Yi,IfcSlab_1S95G$KmD4KuUstGlbafId,Wall,Slab
IfcWall_0VHNU8CzX2rfsiwnl8p5Yi,IfcWall_1S95G$KmD4KuUstGlbafVl,Wall,Wall
IfcWall_0VHNU8CzX2rfsiwnl8p5Yi,IfcWall_2un$6u9iv7VQfnxEerV98S,Wall,Wall
IfcWall_0VHNU8CzX2rfsiwnl8p5XP,IfcSlab_1S95G$KmD4KuUstGlbafId,Wall,Slab
IfcWall_0VHNU8CzX2rfsiwnl8p5XP,IfcWall_2iA_Cg3Y93jBekWsGl7BI5,Wall,Wall
IfcWall_1S95G$KmD4KuUstGlbafVl,IfcWall_0VHNU8CzX2rfsiwnl8p5Yi,Wall,Wall
IfcWall_1S95G$KmD4KuUstGlbafVl,IfcWall_1S95G$KmD4KuUstGlbafV2,Wall,Wall
IfcWall_1S95G$KmD4KuUstGlbafV2,IfcWall_1S95G$KmD4KuUstGlbafVl,Wall,Wall
IfcWall_1S95G$KmD4KuUstGlbafV2,IfcWall_1S95G$KmD4KuUstGlbafVK,Wall,Wall
IfcWall_1S95G$KmD4KuUstGlbafVK,IfcWall_0VHNU8CzX2rfsiwnl8p5zg,Wall,Wall
IfcWall_1S95G$KmD4KuUstGlbafVK,IfcWall_1S95G$KmD4KuUstGlbafV2,Wall,
IfcWall_2un$6u9iv7VQfnxEerV9AP,IfcSlab_1S95G$KmD4KuUstGlbafId,Wall,IfcSlab_1S95G$KmD4KuUstGlbafId
IfcWall_2un$6u9iv7VQfnxEerV9AP,IfcWall_2un$6u9iv7VQfnxEerV99p,Wall,Wall
IfcWall_2un$6u9iv7VQfnxEerV9AP,IfcWall_2un$6u9iv7VQfnxEerV95$,Wall,Wall
IfcWall_2un$6u9iv7VQfnxEerV99p,IfcSlab_1S95G$KmD4KuUstGlbafId,Wall,IfcSlab_1S95G$KmD4KuUstGlbafId
IfcWall_2un$6u9iv7VQfnxEerV99p,IfcWall_2un$6u9iv7VQfnxEerV9AP,Wall,Wall
IfcWall_2un$6u9iv7VQfnxEerV98S,IfcSlab_1S95G$KmD4KuUstGlbafId,Wall,Slab
IfcWall_2un$6u9iv7VQfnxEerV98S,IfcWall_0VHNU8CzX2rfsiwnl8p5Yi,Wall,Wall
IfcWall_2un$6u9iv7VQfnxEerV98S,IfcWall_2un$6u9iv7VQfnxEerV97a,Wall,Wall
IfcWall_2un$6u9iv7VQfnxEerV97a,IfcSlab_1S95G$KmD4KuUstGlbafId,Wall,Slab
IfcWall_2un$6u9iv7VQfnxEerV97a,IfcWall_2un$6u9iv7VQfnxEerV98S,Wall,Wall
IfcWall_2un$6u9iv7VQfnxEerV95$,IfcSlab_1S95G$KmD4KuUstGlbafId,Wall,Slab
IfcWall_2un$6u9iv7VQfnxEerV95$,IfcWall_2un$6u9iv7VQfnxEerV9AP,Wall,Wall
IfcWall_2un$6u9iv7VQfnxEerV95$,IfcWall_2iA_Cg3Y93jBekWsGl7BI5,Wall,Wall
IfcWall_2un$6u9iv7VQfnxEerV95$,IfcWall_1NB4858ij0cgkl5wv0z3W2,Wall,Wall
IfcWall_2iA_Cg3Y93jBekWsGl7BI5,IfcSlab_1S95G$KmD4KuUstGlbafId,Wall,Slab
IfcWall_2iA_Cg3Y93jBekWsGl7BI5,IfcWall_0VHNU8CzX2rfsiwnl8p5XP,Wall,Wall
IfcWall_2iA_Cg3Y93jBekWsGl7BI5,IfcWall_2un$6u9iv7VQfnxEerV95$,Wall,Wall
IfcWall_2iA_Cg3Y93jBekWsGl7BI5,IfcWall_1NB4858ij0cgkl5wv0z3W2,Wall,Wall
IfcWall_1NB4858ij0cgkl5wv0z3W2,IfcWall_2un$6u9iv7VQfnxEerV95$,Wall,Wall
IfcWall_1NB4858ij0cgkl5wv0z3W2,IfcWall_2iA_Cg3Y93jBekWsGl7BI5,Wall,Wall
IfcWall_1NB4858ij0cgkl5wv0z3W2,IfcWall_1NB4858ij0cgkl5wv0z3dk,Wall,Wall
IfcWall_1NB4858ij0cgkl5wv0z3dk,IfcWall_0VHNU8CzX2rfsiwnl8p5zg,Wall,Wall
IfcWall_1NB4858ij0cgkl5wv0z3dk,IfcWall_1NB4858ij0cgkl5wv0z3W2,Wall,Wall
